id	name
0307	Моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; моллюски копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; мука тонкого и грубого помола и гранулы из моллюсков, пригодные для употребления в пищу:
0308	Водные беспозвоночные, кроме ракообразных и моллюсков, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; водные беспозвоночные, кроме ракообразных и моллюсков, копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; мука тонкого и грубого помола и гранулы из водных беспозвоночных, кроме ракообразных и моллюсков, пригодные для употребления в пищу:
04	Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные
0401	Молоко и сливки, несгущенные и без добавления сахара или других подслащивающих веществ:
0402	Молоко и сливки, сгущенные или с добавлением сахара или других подслащивающих веществ:
0403	Пахта, свернувшиеся молоко и сливки, йогурт, кефир и прочие ферментированные или сквашенные молоко и сливки, сгущенные или несгущенные, с добавлением или без добавления сахара или других подслащивающих веществ, со вкусо-ароматическими добавками или без них, с добавлением или без добавления фруктов, орехов или какао:
0404	Молочная сыворотка, сгущенная или несгущенная, с добавлением или без добавления сахара или других подслащивающих веществ; продукты из натуральных компонентов молока, с добавлением или без добавления сахара или других подслащивающих веществ, в другом месте не поименованные или не включенные:
0405	Сливочное масло и прочие жиры и масла, изготовленные из молока; молочные пасты:
0406	Сыры и творог:
0407	Яйца птиц, в скорлупе, свежие, консервированные или вареные:
0408	Яйца птиц без скорлупы и яичные желтки, свежие, сушеные, сваренные на пару или в кипящей воде, формованные, замороженные или консервированные другим способом, с добавлением или без добавления сахара или других подслащивающих веществ:
0409000000	Мед натуральный
0410000000	Пищевые продукты животного происхождения, в другом месте не поименованные или не включенные
05	Продукты животного происхождения,в другом месте не поименованные или не включенные
0501000000	Человеческий волос, необработанный, мытый или немытый, очищенный или неочищенный; отходы человеческого волоса
0502	Щетина свиная или кабанья; барсучий или прочий волос, используемый для производства щеточных изделий; их отходы:
0504000000	Кишки, пузыри и желудки животных (кроме рыбьих), целые и в кусках, свежие, охлажденные, замороженные, соленые, в рассоле, сушеные или копченые
0505	Шкурки и прочие части птиц с перьями или пухом, перья и части перьев (с подрезанными или неподрезанными краями) и пух, очищенные, дезинфицированные или обработанные для хранения, но не подвергнутые дальнейшей обработке; порошок и отходы перьев или их частей:
0506	Кости и роговой стержень, необработанные, обезжиренные, подвергнутые первичной обработке (без придания формы), обработанные кислотой или дежелатинизированные; порошок и отходы этих продуктов:
0507	Слоновая кость, панцири черепах, ус китовый и щетина из китового уса, рога, оленьи рога, копыта, ногти, когти и клювы, необработанные или подвергнутые первичной обработке, но без придания формы; порошок и отходы этих продуктов:
0508000000	Кораллы и аналогичные материалы, необработанные или подвергнутые первичной обработке; раковины и панцири моллюсков, ракообразных или иглокожих и скелетные пластины каракатиц, необработанные или подвергнутые первичной обработке, без придания формы, порошок и отходы этих продуктов
0510000000	Амбра серая, струя бобровая, циветта и мускус; шпанки; желчь, в том числе сухая; железы и прочие продукты животного происхождения, используемые в производстве фармацевтических продуктов, свежие, охлажденные, мороженые или обработанные иным способом для кратковременного хранения
0511	Продукты животного происхождения, в другом месте не поименованные или не включенные; павшие животные группы 01 или 03, непригодные для употребления в пищу:
II	Продукты растительного происхождения (06-14)
06	Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень
0601	Луковицы, клубни, клубневидные корни, клубнелуковицы, корневища, включая разветвленные, находящиеся в состоянии вегетативного покоя, вегетации или цветения; растения и корни цикория, кроме корней товарной позиции 1212:
0602	Прочие живые растения (включая их корни), черенки и отводки; мицелий гриба:
0603	Срезанные цветы и бутоны, пригодные для составления букетов или для декоративных целей, свежие, засушенные, окрашенные, отбеленные, пропитанные или подготовленные другими способами:
0604	Листья, ветки и другие части растений без цветков или бутонов, травы, мхи и лишайники, пригодные для составления букетов или для декоративных целей, свежие, засушенные, окрашенные, отбеленные, пропитанные или подготовленные другими способами:
07	Овощи и некоторые съедобные корнеплоды и клубнеплоды
0701	Картофель свежий или охлажденный:
070200000	Томаты свежие или охлажденные:
0703	Лук репчатый, лук шалот, чеснок, лук-порей и прочие луковичные овощи, свежие или охлажденные:
0704	Капуста кочанная, капуста цветная, кольраби, капуста листовая и аналогичные съедобные овощи из рода Brassica, свежие или охлажденные:
0705	Салат-латук (Lactuca sativa) и цикорий (Cichorium sрр.), свежие или охлажденные:
0706	Морковь, репа, свекла столовая, козлобородник, сельдерей корневой, редис и прочие аналогичные съедобные корнеплоды, свежие или охлажденные:
070700	Огурцы и корнишоны, свежие или охлажденные:
0708	Бобовые овощи, лущеные или нелущеные, свежие или охлажденные:
0709	Овощи прочие, свежие или охлажденные:
0710	Овощи (сырые или сваренные в воде или на пару) замороженные:
0711	Овощи консервированные для кратковременного хранения (например, диоксидом серы, в рассоле, сернистой воде или в другом временно консервирующем растворе), но в таком виде непригодные для непосредственного употребления в пищу:
0712	Овощи сушеные, целые, нарезанные кусками, ломтиками, измельченные или в виде порошка, но не подвергнутые дальнейшей обработке:
0713	Овощи бобовые сушеные, лущеные, очищенные от семенной кожуры или неочищенные, колотые или неколотые:
0714	Маниок, маранта, салеп, земляная груша, или топинамбур, сладкий картофель, или батат, и аналогичные корнеплоды и клубнеплоды с высоким содержанием крахмала или инулина, свежие, охлажденные, замороженные или сушеные, целые или нарезанные ломтиками или в виде гранул; сердцевина саговой пальмы:
08	Съедобные фрукты и орехи; кожура цитрусовых плодов или корки дынь
0801	Орехи кокосовые, орехи бразильские и орехи кешью, свежие или сушеные, очищенные от скорлупы или не очищенные, с кожурой или без кожуры:
0802	Прочие орехи, свежие или сушеные, очищенные от скорлупы или неочищенные, с кожурой или без кожуры:
0803	Бананы, включая плантайны, свежие или сушеные:
0804	Финики, инжир, ананасы, авокадо, гуайява, манго и мангостан, или гарциния, свежие или сушеные:
0805	Цитрусовые плоды, свежие или сушеные:
0806	Виноград, свежий или сушеный:
0807	Дыни (включая арбузы) и папайя, свежие:
0808	Яблоки, груши и айва, свежие:
0809	Абрикосы, вишня и черешня, персики (включая нектарины), сливы и терн, свежие:
0810	Прочие фрукты, свежие:
0811	Фрукты и орехи, подвергнутые или не подвергнутые тепловой обработке в кипящей воде или на пару, замороженные, с добавлением или без добавления сахара или других подслащивающих веществ:
0812	Фрукты и орехи, консервированные для кратковременного хранения (например, диоксидом серы, в рассоле, сернистой воде или в другом временно консервирующем растворе), но в таком виде непригодные для непосредственного употребления в пищу:
0813	Фрукты сушеные, кроме плодов товарных позиций 0801
0814000000	Кожура цитрусовых плодов или корки дынь (включая корки арбуза), свежие, замороженные, сушеные или консервированные для кратковременного хранения в рассоле, сернистой воде или в другом временно консервирующем растворе
09	Кофе, чай, мате, или парагвайский чай, и пряности
0901	Кофе, жареный или нежареный, с кофеином или без кофеина; кофейная шелуха и оболочки зерен кофе; заменители кофе, содержащие кофе в любой пропорции:
0902	Чай со вкусо-ароматическими добавками или без них:
0903000000	Мате, или парагвайский чай
0904	Перец рода Piper; плоды рода Capsicum или рода Pimenta, сушеные, дробленые или молотые:
0905	Ваниль:
0906	Корица и цветки коричного дерева:
0907	Гвоздика (целые плоды, цветы и цветоножки):
0908	Мускатный орех, мацис и кардамон:
0909	Семена аниса, бадьяна, фенхеля, кориандра, тмина римского, или тмина волошского, или тмина; ягоды можжевельника:
0910	Имбирь, шафран, турмерик (куркума), тимьян, или чабрец, лавровый лист, карри и прочие пряности:
10	Злаки
1001	Пшеница и меслин:
1002	Рожь:
1003	Ячмень:
1004	Овес:
1005	Кукуруза:
1006	Рис:
1007	Сорго зерновое:
1008	Гречиха, просо и семена канареечника; прочие злаки:
11	Продукция мукомольно–крупяной промышленности; солод; крахмалы; инулин; пшеничная клейковина
110100	Мука пшеничная или пшенично-ржаная:
1102	Мука из зерна прочих злаков, кроме пшеничной или пшенично-ржаной:
1103	Крупа, мука грубого помола и гранулы из зерна злаков:
1104	Зерно злаков, обработанное другими способами (например, шелушеное, плющеное, переработанное в хлопья, обрушенное, в виде сечки или дробленое), кроме риса товарной позиции 1006; зародыши зерна злаков, целые, плющеные, в виде хлопьев или молотые:
1105	Мука тонкого и грубого помола, порошок, хлопья, гранулы картофельные:
1106	Мука тонкого и грубого помола и порошок из сушеных бобовых овощей товарной позиции 0713, из сердцевины саговой пальмы, из корнеплодов или клубнеплодов товарной позиции 0714 или продуктов группы 08:
1107	Солод, поджаренный или неподжаренный:
1108	Крахмал; инулин:
1109000000	Клейковина пшеничная, сухая или сырая
12	Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж
1201	Соевые бобы, дробленые или недробленые:
1202	Арахис, нежареный или не приготовленный каким-либо другим способом, лущеный или нелущеный, дробленый или недробленый:
1203000000	Копра
120400	Семена льна, дробленые или недробленые:
1205	Семена рапса, или кользы, дробленые или недробленые:
120600	Семена подсолнечника, дробленые или недробленые:
1207	Семена и плоды прочих масличных культур, дробленые или недробленые:
1208	Мука тонкого и грубого помола из семян или плодов масличных культур, кроме семян горчицы:
1209	Семена, плоды и споры для посева:
1210	Шишки хмеля, свежие или сушеные, дробленые или недробленые, в порошкообразном виде или в виде гранул; лупулин:
1211	Растения и их части (включая семена и плоды), используемые в основном в парфюмерии, фармации или инсектицидных, фунгицидных или аналогичных целях, свежие или сушеные, целые или измельченные, дробленые или молотые:
1212	Плоды рожкового дерева, морские и прочие водоросли, свекла сахарная и сахарный тростник, свежие, охлажденные, мороженые или сушеные, дробленые или недробленые; косточки плодов и их ядра, прочие продукты растительного происхождения (включая необжаренные корни цикория вида Cichorium intybus sativum), используемые главным образом для пищевых целей, в другом месте не поименованные или не включенные:
1213000000	Солома и мякина зерновых, необработанная, измельченная или неизмельченная, размолотая или неразмолотая, прессованная или в виде гранул
1214	Брюква, свекла листовая (мангольд), корнеплоды кормовые, сено, люцерна, клевер, эспарцет, капуста кормовая, люпин, вика и аналогичные кормовые продукты, гранулированные или негранулированные:
13	Шеллак природный неочищенный; камеди, смолы и прочие растительные соки и экстракты
1301	Шеллак природный неочищенный; природные камеди, смолы, гуммисмолы и живица (например, бальзамы):
1302	Соки и экстракты растительные; пектиновые вещества, пектинаты и пектаты; агар-агар и другие клеи и загустители растительного происхождения, видоизмененные или невидоизмененные:
14	Растительные материалы для изготовления плетеных изделий; прочие продукты растительного происхождения, в другом месте не поименованные или не включенные
1401	Материалы растительного происхождения, используемые главным образом для плетения (например, бамбук, ротанг, тростник, ситник, ива, рафия, очищенная, отбеленная или окрашенная солома зерновых и липовая кора):
1404	Материалы растительного происхождения, в другом месте не поименованные или не включенные:
III	Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения (15)
15	Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения
1501	Жир свиной (включая лярд) и жир домашней птицы, кроме жира товарной позиции 0209 или 1503:
1502	Жир крупного рогатого скота, овец или коз, кроме жира товарной позиции 1503:
150300	Лярд-стеарин, лярд-ойль, олеостеарин, олео-ойль и животное масло, неэмульгированные или несмешанные, или не приготовленные каким-либо иным способом:
1504	Жиры, масла и их фракции, из рыбы или морских млекопитающих, нерафинированные или рафинированные, но без изменения химического состава:
150500	Жиропот и жировые вещества, получаемые из него (включая ланолин):
1506000000	Прочие животные жиры, масла и их фракции, нерафинированные или рафинированные, но без изменения химического состава
1507	Масло соевое и его фракции, нерафинированные или рафинированные, но без изменения химического состава:
1508	Масло арахисовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава:
1509	Масло оливковое и его фракции, нерафинированные или рафинированные, но без изменения химического состава:
151000	Прочие масла и их фракции, получаемые только из маслин, или оливок, нерафинированные или рафинированные, но без изменения химического состава, включая смеси этих масел или фракций с маслами или фракциями товарной позиции 1509:
1511	Масло пальмовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава:
1512	Масло подсолнечное, сафлоровое или хлопковое и их фракции, нерафинированные или рафинированные, но без изменения химического состава:
1513	Масло кокосовое (копровое), пальмоядровое или масло бабассу и их фракции, нерафинированные или рафинированные, но без изменения химического состава:
1514	Масло рапсовое (из рапса, или кользы) или горчичное и их фракции, нерафинированные или рафинированные, но без изменения химического состава:
1515	Прочие нелетучие растительные жиры, масла (включая масло жожоба) и их фракции, нерафинированные или рафинированные, но без изменения химического состава:
1516	Жиры и масла животные или растительные и их фракции, полностью или частично гидрогенизированные, переэтерифицированные, реэтерифицированные или элаидинизированные, нерафинированные или рафинированные, но не подвергнутые дальнейшей обработке:
1517	Маргарин; пригодные для употребления в пищу смеси или готовые продукты из животных или растительных жиров или масел или фракций различных жиров или масел данной группы, кроме пищевых жиров или масел или их фракций товарной позиции 1516:
151800	Животные или растительные жиры и масла и их фракции, вареные, окисленные, дегидратированные, сульфурированные, окисленные воздушной продувкой, полимеризованные путем нагревания в вакууме или в инертном газе или химически модифицированные другим способом, кроме продуктов товарной позиции 1516; непригодные для употребления в пищу смеси или готовые продукты из животных или растительных жиров или масел или фракций различных жиров или масел данной группы, в другом месте не поименованные или не включенные:
1520000000	Глицерин сырой; глицериновая вода и глицериновый щелок
1521	Воски растительные (кроме триглицеридов), воск пчелиный, воски других насекомых и спермацет, окрашенные или неокрашенные, рафинированные или нерафинированные:
152200	Дегра; остатки после обработки жировых веществ или восков растительного или животного происхождения:
IV	Готовые пищевые продукты; алкогольные и безалкогольные напитки и уксус; табак и его заменители (16-24)
16	Готовые продукты из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных
160100	Колбасы и аналогичные продукты из мяса, мясных субпродуктов или крови; готовые пищевые продукты, изготовленные на их основе:
1602	Готовые или консервированные продукты из мяса, мясных субпродуктов или крови прочие:
160300	Экстракты и соки из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных:
1604	Готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы:
1605	Готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные:
17	Сахар и кондитерские изделия из сахара
1701	Сахар тростниковый или свекловичный и химически чистая сахароза, в твердом состоянии:
1702	Прочие сахара, включая химически чистые лактозу, мальтозу, глюкозу и фруктозу, в твердом состоянии; сиропы сахарные без добавления вкусо-ароматических или красящих веществ; искусственный мед, смешанный или не смешанный с натуральным медом; карамельный кулер:
1703	Меласса, полученная в результате извлечения или рафинирования сахара:
1704	Кондитерские изделия из сахара (включая белый шоколад), не содержащие какао:
18	Какао и продукты из него
1801000000	Какао-бобы, целые или дробленые, сырые или жареные
1802000000	Шелуха, оболочки, кожица и прочие отходы какао
1803	Какао-паста, обезжиренная или необезжиренная:
1804000000	Какао-масло, какао-жиp
1805000000	Какао-порошок без добавок сахара или других подслащивающих веществ
1806	Шоколад и прочие готовые пищевые продукты, содержащие какао:
19	Готовые продукты из зерна злаков, муки, крахмала или молока; мучные кондитерские изделия
1901	Экстракт солодовый; готовые пищевые продукты из муки тонкого или грубого помола, крупы, крахмала или солодового экстракта, не содержащие какао или содержащие менее 40
1902	Макаронные изделия, подвергнутые или не подвергнутые тепловой обработке, с начинкой (из мяса или прочих продуктов) или без начинки, или приготовленные другим способом, такие как спагетти, макароны, лапша, рожки, клецки, равиоли, каннеллони; кускус, готовый или не готовый к употреблению в пищу:
1903000000	Тапиока и ее заменители, приготовленные из крахмала, в форме хлопьев, гранул, зернышек, крупинок или в других аналогичных формах
1904	Готовые пищевые продукты, полученные путем вздувания или обжаривания зерна злаков или зерновых продуктов (например, кукурузные хлопья); злаки (кроме зерна кукурузы) в виде зерна или в виде хлопьев или зерна, обработанного иным способом (за исключением муки тонкого и грубого помола, крупы), предварительно отваренные или приготовленные иным способом, в другом месте не поименованные или не включенные:
1905	Хлеб, мучные кондитерские изделия, пирожные, печенье и прочие хлебобулочные и мучные кондитерские изделия, содержащие или не содержащие какао; вафельные пластины, пустые капсулы, пригодные для использования в фармацевтических целях, вафельные облатки для запечатывания, рисовая бумага и аналогичные продукты:
20	Продукты переработки овощей, фруктов, орехов или прочих частей растений
2001	Овощи, фрукты, орехи и другие съедобные части растений, приготовленные или консервированные с добавлением уксуса или уксусной кислоты:
2002	Томаты, приготовленные или консервированные без добавления уксуса или уксусной кислоты:
2003	Грибы и трюфели, приготовленные или консервированные без добавления уксуса или уксусной кислоты:
2004	Овощи прочие, приготовленные или консервированные без добавления уксуса или уксусной кислоты, замороженные, кроме продуктов товарной позиции 2006:
2005	Овощи прочие, приготовленные или консервированные, без добавления уксуса или уксусной кислоты, незамороженные, кроме продуктов товарной позиции 2006:
200600	Овощи, фрукты, орехи, кожура плодов и другие части растений, консервированные с помощью сахара (пропитанные сахарным сиропом, глазированные или засахаренные):
2007	Джемы, желе фруктовое, мармелады, пюре фруктовое или ореховое, паста фруктовая или ореховая, полученные путем тепловой обработки, в том числе с добавлением сахара или других подслащивающих веществ:
2008	Фрукты, орехи и прочие съедобные части растений, приготовленные или консервированные иным способом, содержащие или не содержащие добавок сахара или других подслащивающих веществ или спирта, в другом месте не поименованные или не включенные:
2009	Соки фруктовые (включая виноградное сусло) и соки овощные, несброженные и не содержащие добавок спирта, с добавлением или без добавления сахара или других подслащивающих веществ:
21	Разные пищевые продукты
2101	Экстракты, эссенции и концентраты кофе, чая или мате, или парагвайского чая, и готовые продукты на их основе или на основе кофе, чая или мате, или парагвайского чая; обжаренный цикорий и прочие обжаренные заменители кофе и экстракты, эссенции и концентраты из них:
2102	Дрожжи (активные или неактивные); прочие мертвые одноклеточные микроорганизмы (кроме вакцин товарной позиции 3002); готовые пекарные порошки:
2103	Продукты для приготовления соусов и готовые соусы; вкусовые добавки и приправы смешанные; горчичный порошок и готовая горчица:
2104	Супы и бульоны готовые и заготовки для их приготовления; гомогенизированные составные готовые пищевые продукты:
210500	Мороженое и прочие виды пищевого льда, не содержащие или содержащие какао:
2106	Пищевые продукты, в другом месте не поименованные или не включенные:
22	Алкогольные и безалкогольные напитки и уксус
2201	Воды, включая природные или искусственные минеральные, газированные, без добавления сахара или других подслащивающих или вкусо-ароматических веществ; лед и снег:
2202	Воды, включая минеральные и газированные, содержащие добавки сахара или других подслащивающих или вкусо-ароматических веществ, и прочие безалкогольные напитки, за исключением фруктовых или овощных соков товарной позиции 2009:
220300	Пиво солодовое:
2204	Вина виноградные натуральные, включая крепленые; сусло виноградное, кроме указанного в товарной позиции 2009:
2205	Вермуты и виноградные натуральные вина прочие с добавлением растительных или ароматических веществ:
220600	Напитки прочие сброженные (например, сидр, перри, или сидр грушевый, напиток медовый); смеси из сброженных напитков и смеси сброженных напитков и безалкогольных напитков, в другом месте не поименованные или не включенные:
2207	Спирт этиловый неденатурированный с концентрацией спирта 80
2208	Спирт этиловый неденатурированный с концентрацией спирта менее 80
220900	Уксус и его заменители, полученные из уксусной кислоты:
23	Остатки и отходы пищевой промышленности; готовые корма для животных
